"key","time","date","site","transect","flight_time","depth","heading","temp","groundSpeed","lat","lon","DVLx","DVLy","altitude","seq","DVLlat","DVLlon","EucDIS","width","height","area"
"7_3","13:26:13","9/6/2023",7,3,"00:12:45",-10.24128,114,55.29,0.2,0,0,-120.7,193.5,0.87,148.683333333333,47.6171218720637,-122.35939773654,0.226256475164138,2.43939003238882,1.06627337136348,2.6010566339057
"7_3","13:26:18","9/6/2023",7,3,"00:12:51",-10.11936,112,55.29,0.1,0,0,-122.8,196.1,0.96,148.783333333333,47.6171143263176,-122.359383877057,0.233388006548243,2.69174072539456,1.17657751322867,3.16704160894107
"7_3","13:26:24","9/6/2023",7,3,"00:12:56",-10.0584,112,55.29,0.1,0,0,-124.5,197.4,1.05,148.866666666667,47.6171064212503,-122.359375348145,0.233051586146068,2.94409141840031,1.28688165509386,3.78869723725861
"7_3","13:26:31","9/6/2023",7,3,"00:13:03",-10.08888,112,55.31,0.2,0,0,-126.3,199.9,1.03,148.983333333333,47.6171017500741,-122.35936362089,0.233388047551525,2.88801348662125,1.26236962356826,3.64574049796613
"7_3","13:26:38","9/6/2023",7,3,"00:13:10",-10.11936,113,55.29,0.1,0,0,-127.9,203.3,0.93,149.1,47.6170952822917,-122.359343364723,0.179035931272889,2.60762382772598,1.13980946594027,2.97219432245349
"7_3","13:26:45","9/6/2023",7,3,"00:13:17",-9.99744,106,55.29,0.1,0,0,-129.1,205.8,0.99,149.216666666667,47.6170916890793,-122.359332170526,0.16513427968882,2.77585762306314,1.21334556051707,3.36807452357112
"7_3","13:26:53","9/6/2023",7,3,"00:13:25",-9.99744,108,55.29,0.1,0,0,-130.1,209,0.85,149.35,47.6170880958669,-122.359315112701,0.144125767791837,2.38331210060977,1.04176133983788,2.48284240718308
"7_3","13:27:01","9/6/2023",7,3,"00:13:33",-9.93648,106,55.29,0.1,0,0,-131.9,211.6,0.84,149.483333333333,47.6170816280845,-122.359301253218,0.120174469816271,2.35527313472024,1.02950532407509,2.42476623184551
"7_3","13:27:09","9/6/2023",7,3,"00:13:41",-9.81456,108,55.31,0.1,0,0,-133.5,213.3,0.91,149.616666666667,47.6170758789447,-122.359292191249,0.14429584392078,2.55154589594693,1.11529743441468,2.84573259154091
"7_3","13:27:17","9/6/2023",7,3,"00:13:49",-9.72312,106,55.29,0.2,0,0,-135.2,216.2,0.98,149.75,47.6170697704836,-122.359276732595,0.256191243567685,2.74781865717362,1.20108954475427,3.30037626001194
"7_3","13:27:25","9/6/2023",7,3,"00:13:57",-9.63168,105,55.29,0.1,0,0,-136.9,219.2,0.95,149.883333333333,47.6170636620224,-122.359260740884,0.120174511432595,2.66370175950504,1.16432149746587,3.10140522142938
"7_3","13:27:33","9/6/2023",7,3,"00:14:05",-9.54024,104,55.29,0.1,0,0,-137.9,221.3,0.97,150.016666666667,47.61706006881,-122.359249546687,0.0895180146193244,2.71977969128409,1.18883352899147,3.23336528846859
"7_3","13:27:41","9/6/2023",7,3,"00:14:13",-9.54024,104,55.31,0.1,0,0,-139.4,224.4,0.81,150.15,47.6170546789914,-122.359233021919,0.179036046143037,2.27115623705166,0.99273727678669,2.25466145792777
"7_3","13:27:49","9/6/2023",7,3,"00:14:21",-9.26592,105,55.29,0.2,0,0,-141.7,227.8,0.95,150.283333333333,47.6170464146028,-122.35921489798,0.256191312437815,2.66370175950504,1.16432149746587,3.10140522142938
"7_3","13:27:57","9/6/2023",7,3,"00:14:29",-9.11352,104,55.31,0.2,0,0,-143.7,231,1.02,150.416666666667,47.617039228178,-122.359197840155,0.169692491111458,2.85997452073173,1.25011360780546,3.57529306634363
"7_3","13:28:05","9/6/2023",7,3,"00:14:37",-9.05256,102,55.31,0.1,0,0,-146.6,234,1.04,150.55,47.6170288078619,-122.359181848444,0.200070390309333,2.91605245251078,1.27462563933106,3.71687522160445
"7_3","13:28:13","9/6/2023",7,3,"00:14:45",-9.02208,106,55.33,0.2,0,0,-148.3,236.3,1.01,150.683333333333,47.6170226994008,-122.359169588132,0.179036133309657,2.8319355548422,1.23785759204266,3.50553292673697
"7_3","13:28:21","9/6/2023",7,3,"00:14:53",-9.02208,105,55.31,0.1,0,0,-150.6,238.8,0.93,150.816666666667,47.6170144350123,-122.359156261707,0.178706962128719,2.60762382772598,1.13980946594027,2.97219432245349
"7_3","13:28:29","9/6/2023",7,3,"00:15:01",-9.02208,106,55.29,0.1,0,0,-152.3,241,0.91,150.95,47.6170083265511,-122.359144534452,0.113128359669538,2.55154589594693,1.11529743441468,2.84573259154091
